date,Encoded Products,Monterrey total $,Monterrey ctdad
2022-01-16,23,52659.985,10.5
2022-01-16,28,0.0,0.0
2022-01-16,26,18814.25,3.5
2022-01-16,18,34965.98,3.5
2022-01-16,19,11833.29,3.5
2022-01-16,7,42182.665,7.0
2022-01-16,27,27445.81,3.5
2022-01-16,34,0.0,0.0
2022-01-16,46,0.0,0.0
2022-01-16,35,23287.075,7.0
2022-01-16,36,10922.415,3.5
2022-01-16,90,0.0,0.0
2022-01-16,1,84305.90000000001,70.0
2022-01-16,0,15167.88,7.0
2022-01-16,5,20938.05,7.0
2022-01-16,40,0.0,0.0
2022-01-16,21,52683.32999999999,7.0
2022-01-16,12,38331.02,3.5
2022-01-16,50,0.0,0.0
2022-01-16,168,42641.305,3.5
2022-01-16,8,143431.785,7.0
2022-01-16,87,0.0,0.0
2022-01-16,68,26097.295,3.5
2022-01-17,22,13191.01,3.5
2022-01-17,11,30346.12,7.0
2022-01-17,6,41543.215,7.0
2022-01-17,24,28111.825,3.5
2022-01-17,44,79671.76000000001,7.0
2022-01-17,42,55384.28,3.5
2022-01-17,15,61679.24,10.5
2022-01-17,9,30171.435,3.5
2022-01-17,10,89515.47499999999,10.5
2022-01-17,4,74657.59000000001,7.0
2022-01-17,3,109225.375,38.5
2022-01-17,2,49346.64,14.0
2022-01-17,25,57925.07,14.0
2022-01-17,23,16991.345,3.5
2022-01-17,28,11227.02,3.5
2022-01-17,29,15474.935,3.5
2022-01-17,49,0.0,0.0
2022-01-17,13,0.0,0.0
2022-01-17,14,0.0,0.0
2022-01-17,18,0.0,0.0
2022-01-17,19,60348.75,10.5
2022-01-17,7,50169.42000000001,7.0
2022-01-17,34,87785.425,10.5
2022-01-17,171,34305.88,3.5
2022-01-17,69,0.0,0.0
2022-01-17,39,15656.48,3.5
2022-01-17,1,289363.27,273.0
2022-01-17,17,0.0,0.0
2022-01-17,0,53646.39,24.5
2022-01-17,5,0.0,0.0
2022-01-17,12,0.0,0.0
2022-01-17,43,31869.985,3.5
